2415021	1317	9	1
2415058	1317	10	8
2415095	1317	11	16
2415132	1317	12	23
2415169	1318	1	30
2415206	1318	3	8
2415243	1318	4	15
2415280	1318	5	23
2415317	1318	7	1
2415354	1318	8	8
2415391	1318	9	16
2415428	1318	10	23
2415465	1318	12	1
2415502	1319	1	9
2415539	1319	2	16
2415576	1319	3	24
2415613	1319	5	2
2415650	1319	6	9
2415687	1319	7	17
2415724	1319	8	24
2415761	1319	10	2
2415798	1319	11	10
2415835	1319	12	17
2415872	1320	1	24
2415909	1320	3	2
2415946	1320	4	9
2415983	1320	5	17
2416020	1320	6	24
2416057	1320	8	2
2416094	1320	9	10
2416131	1320	10	17
2416168	1320	11	25
2416205	1321	1	3
2416242	1321	2	10
2416279	1321	3	18
2416316	1321	4	25
2416353	1321	6	3
2416390	1321	7	11
2416427	1321	8	18
2416464	1321	9	26
2416501	1321	11	4
2416538	1321	12	11
2416575	1322	1	19
2416612	1322	2	26
2416649	1322	4	4
2416686	1322	5	12
2416723	1322	6	19
2416760	1322	7	27
2416797	1322	9	5
2416834	1322	10	12
2416871	1322	11	20
2416908	1322	12	27
2416945	1323	2	4
2416982	1323	3	12
2417019	1323	4	19
2417056	1323	5	27
2417093	1323	7	5
2417130	1323	8	12
2417167	1323	9	20
2417204	1323	10	27
2417241	1323	12	5
2417278	1324	1	13
2417315	1324	2	20
2417352	1324	3	28
2417389	1324	5	6
2417426	1324	6	13
2417463	1324	7	21
2417500	1324	8	28
2417537	1324	10	6
2417574	1324	11	14
2417611	1324	12	21
2417648	1325	1	29
2417685	1325	3	7
2417722	1325	4	14
2417759	1325	5	22
2417796	1325	6	29
2417833	1325	8	7
2417870	1325	9	15
2417907	1325	10	22
2417944	1325	11	30
2417981	1326	1	7
2418018	1326	2	14
2418055	1326	3	22
2418092	1326	4	29
2418129	1326	6	7
2418166	1326	7	15
2418203	1326	8	22
2418240	1326	9	30
2418277	1326	11	8
2418314	1326	12	15
2418351	1327	1	23
2418388	1327	3	1
2418425	1327	4	8
2418462	1327	5	16
2418499	1327	6	23
2418536	1327	8	1
2418573	1327	9	9
2418610	1327	10	16
2418647	1327	11	24
2418684	1328	1	2
2418721	1328	2	9
2418758	1328	3	17
2418795	1328	4	24
2418832	1328	6	2
2418869	1328	7	10
2418906	1328	8	17
2418943	1328	9	25
2418980	1328	11	3
2419017	1328	12	10
2419054	1329	1	17
2419091	1329	2	24
2419128	1329	4	2
2419165	1329	5	10
2419202	1329	6	17
2419239	1329	7	25
2419276	1329	9	3
2419313	1329	10	10
2419350	1329	11	18
2419387	1329	12	25
2419424	1330	2	3
2419461	1330	3	11
2419498	1330	4	18
2419535	1330	5	26
2419572	1330	7	4
2419609	1330	8	11
2419646	1330	9	19
2419683	1330	10	26
2419720	1330	12	4
2419757	1331	1	11
2419794	1331	2	18
2419831	1331	3	26
2419868	1331	5	4
2419905	1331	6	11
2419942	1331	7	19
2419979	1331	8	26
2420016	1331	10	4
2420053	1331	11	12
2420090	1331	12	19
2420127	1332	1	27
2420164	1332	3	5
2420201	1332	4	12
2420238	1332	5	20
2420275	1332	6	27
2420312	1332	8	5
2420349	1332	9	13
2420386	1332	10	20
2420423	1332	11	28
2420460	1333	1	6
2420497	1333	2	13
2420534	1333	3	21
2420571	1333	4	28
2420608	1333	6	6
2420645	1333	7	14
2420682	1333	8	21
2420719	1333	9	29
2420756	1333	11	7
2420793	1333	12	14
2420830	1334	1	21
2420867	1334	2	28
2420904	1334	4	6
2420941	1334	5	14
2420978	1334	6	21
2421015	1334	7	29
2421052	1334	9	7
2421089	1334	10	14
2421126	1334	11	22
2421163	1334	12	29
2421200	1335	2	7
2421237	1335	3	15
2421274	1335	4	22
2421311	1335	5	30
2421348	1335	7	8
2421385	1335	8	15
2421422	1335	9	23
2421459	1335	11	1
2421496	1335	12	8
2421533	1336	1	16
2421570	1336	2	23
2421607	1336	4	1
2421644	1336	5	9
2421681	1336	6	16
2421718	1336	7	24
2421755	1336	9	2
2421792	1336	10	9
2421829	1336	11	17
2421866	1336	12	24
2421903	1337	2	1
2421940	1337	3	9
2421977	1337	4	16
2422014	1337	5	24
2422051	1337	7	2
2422088	1337	8	9
2422125	1337	9	17
2422162	1337	10	24
2422199	1337	12	2
2422236	1338	1	10
2422273	1338	2	17
2422310	1338	3	25
2422347	1338	5	3
2422384	1338	6	10
2422421	1338	7	18
2422458	1338	8	25
2422495	1338	10	3
2422532	1338	11	11
2422569	1338	12	18
2422606	1339	1	26
2422643	1339	3	4
2422680	1339	4	11
2422717	1339	5	19
2422754	1339	6	26
2422791	1339	8	4
2422828	1339	9	12
2422865	1339	10	19
2422902	1339	11	27
2422939	1340	1	4
2422976	1340	2	11
2423013	1340	3	19
2423050	1340	4	26
2423087	1340	6	4
2423124	1340	7	12
2423161	1340	8	19
2423198	1340	9	27
2423235	1340	11	5
2423272	1340	12	12
2423309	1341	1	20
2423346	1341	2	27
2423383	1341	4	5
2423420	1341	5	13
2423457	1341	6	20
2423494	1341	7	28
2423531	1341	9	6
2423568	1341	10	13
2423605	1341	11	21
2423642	1341	12	28
2423679	1342	2	5
2423716	1342	3	13
2423753	1342	4	20
2423790	1342	5	28
2423827	1342	7	6
2423864	1342	8	13
2423901	1342	9	21
2423938	1342	10	28
2423975	1342	12	6
2424012	1343	1	14
2424049	1343	2	21
2424086	1343	3	29
2424123	1343	5	7
2424160	1343	6	14
2424197	1343	7	22
2424234	1343	8	29
2424271	1343	10	7
2424308	1343	11	15
2424345	1343	12	22
2424382	1344	1	30
2424419	1344	3	8
2424456	1344	4	15
2424493	1344	5	23
2424530	1344	7	1
2424567	1344	8	8
2424604	1344	9	16
2424641	1344	10	23
2424678	1344	12	1
2424715	1345	1	8
2424752	1345	2	15
2424789	1345	3	23
2424826	1345	5	1
2424863	1345	6	8
2424900	1345	7	16
2424937	1345	8	23
2424974	1345	10	1
2425011	1345	11	9
2425048	1345	12	16
2425085	1346	1	24
2425122	1346	3	2
2425159	1346	4	9
2425196	1346	5	17
2425233	1346	6	24
2425270	1346	8	2
2425307	1346	9	10
2425344	1346	10	17
2425381	1346	11	25
2425418	1347	1	3
2425455	1347	2	10
2425492	1347	3	18
2425529	1347	4	25
2425566	1347	6	3
2425603	1347	7	11
2425640	1347	8	18
2425677	1347	9	26
2425714	1347	11	4
2425751	1347	12	11
2425788	1348	1	18
2425825	1348	2	25
2425862	1348	4	3
2425899	1348	5	11
2425936	1348	6	18
2425973	1348	7	26
2426010	1348	9	4
2426047	1348	10	11
2426084	1348	11	19
2426121	1348	12	26
2426158	1349	2	4
2426195	1349	3	12
2426232	1349	4	19
2426269	1349	5	27
2426306	1349	7	5
2426343	1349	8	12
2426380	1349	9	20
2426417	1349	10	27
2426454	1349	12	5
2426491	1350	1	12
2426528	1350	2	19
2426565	1350	3	27
2426602	1350	5	5
2426639	1350	6	12
2426676	1350	7	20
2426713	1350	8	27
2426750	1350	10	5
2426787	1350	11	13
2426824	1350	12	20
2426861	1351	1	28
2426898	1351	3	6
2426935	1351	4	13
2426972	1351	5	21
2427009	1351	6	28
2427046	1351	8	6
2427083	1351	9	14
2427120	1351	10	21
2427157	1351	11	29
2427194	1352	1	7
2427231	1352	2	14
2427268	1352	3	22
2427305	1352	4	29
2427342	1352	6	7
2427379	1352	7	15
2427416	1352	8	22
2427453	1352	9	30
2427490	1352	11	8
2427527	1352	12	15
2427564	1353	1	22
2427601	1353	2	29
2427638	1353	4	7
2427675	1353	5	15
2427712	1353	6	22
2427749	1353	7	30
2427786	1353	9	8
2427823	1353	10	15
2427860	1353	11	23
2427897	1354	1	1
2427934	1354	2	8
2427971	1354	3	16
2428008	1354	4	23
2428045	1354	6	1
2428082	1354	7	9
2428119	1354	8	16
2428156	1354	9	24
2428193	1354	11	2
2428230	1354	12	9
2428267	1355	1	17
2428304	1355	2	24
2428341	1355	4	2
2428378	1355	5	10
2428415	1355	6	17
2428452	1355	7	25
2428489	1355	9	3
2428526	1355	10	10
2428563	1355	11	18
2428600	1355	12	25
2428637	1356	2	2
2428674	1356	3	10
2428711	1356	4	17
2428748	1356	5	25
2428785	1356	7	3
2428822	1356	8	10
2428859	1356	9	18
2428896	1356	10	25
2428933	1356	12	3
2428970	1357	1	11
2429007	1357	2	18
2429044	1357	3	26
2429081	1357	5	4
2429118	1357	6	11
2429155	1357	7	19
2429192	1357	8	26
2429229	1357	10	4
2429266	1357	11	12
2429303	1357	12	19
2429340	1358	1	27
2429377	1358	3	5
2429414	1358	4	12
2429451	1358	5	20
2429488	1358	6	27
2429525	1358	8	5
2429562	1358	9	13
2429599	1358	10	20
2429636	1358	11	28
2429673	1359	1	5
2429710	1359	2	12
2429747	1359	3	20
2429784	1359	4	27
2429821	1359	6	5
2429858	1359	7	13
2429895	1359	8	20
2429932	1359	9	28
2429969	1359	11	6
2430006	1359	12	13
2430043	1360	1	21
2430080	1360	2	28
2430117	1360	4	6
2430154	1360	5	14
2430191	1360	6	21
2430228	1360	7	29
2430265	1360	9	7
2430302	1360	10	14
2430339	1360	11	22
2430376	1360	12	29
2430413	1361	2	6
2430450	1361	3	14
2430487	1361	4	21
2430524	1361	5	29
2430561	1361	7	7
2430598	1361	8	14
2430635	1361	9	22
